Version,Post_Variable,Feature,Mutual_Information,Abs_Pearson,Combined_Score,Prevalencia_Post
target_f_predictibilidad_maxima,target,Antecedente hematológicos _aspirina,4.6280419299771225e-05,0.04454640693746826,0.013396318374750318,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_E,0.003352188922286947,0.03622655181096945,0.013214497788891697,0.1943
target_f_predictibilidad_maxima,target,predicted_label_proc_encoded,0.0022566289034988696,0.036981819351242826,0.012674186037822055,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_P,0.0,0.04198219633298048,0.012594658899894145,0.1943
target_f_predictibilidad_maxima,target,Abdomen_otro,0.003637694213554976,0.0331870273832248,0.012502494164455922,0.1943
target_f_predictibilidad_maxima,target,Tensión Arterial Sistólica (mm/Hg),0.0012303040743566473,0.037975906094387946,0.012253984680366037,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_C,0.0,0.04055119599058881,0.012165358797176644,0.1943
target_f_predictibilidad_maxima,target,Prótesis Dental_no,0.004903961771697496,0.02898494852689017,0.012128257798255299,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_J,0.0016890279692929333,0.036223922041361066,0.012049496190913372,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_G,0.0008193320840554907,0.036664949549025466,0.011573017323546483,0.1943
target_f_predictibilidad_maxima,target,Peso (Kg),0.0,0.03840374009500513,0.011521122028501538,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_Q,0.0008557007942948669,0.0352967177601775,0.011188005884059656,0.1943
target_f_predictibilidad_maxima,target,Antecedente endocrinológicos_negativo,0.004066855592788743,0.02677860352773025,0.010880379973271195,0.1943
target_f_predictibilidad_maxima,target,Abdomen_distension,0.004000737499459284,0.02643074290901287,0.010729739122325358,0.1943
target_f_predictibilidad_maxima,target,Antecedente gastrointestinales_rge,0.0001319112779130105,0.035442643902867665,0.010725131065399407,0.1943
target_f_predictibilidad_maxima,target,Puntaje Mallampati,0.0,0.035443873414402714,0.010633162024320814,0.1943
target_f_predictibilidad_maxima,target,Antecedente neurológicos_neoplasia,0.0030650783859988984,0.02774157615128342,0.010468027715584253,0.1943
target_f_predictibilidad_maxima,target,Antecedente neurológicos_neuropatia,0.003974465053434351,0.0252349201806361,0.010352601591594875,0.1943
target_f_predictibilidad_maxima,target,Sistema cardiovascular_normal,0.008172921392324062,0.015275594794612558,0.010303723413010609,0.1943
target_f_predictibilidad_maxima,target,Anestesia previa_sedacion,0.004919746079505405,0.022686827472864508,0.010249870497513136,0.1943
target_f_predictibilidad_maxima,target,Abdomen_masas,0.000843341954601895,0.03150867908955598,0.01004294309508812,0.1943
target_f_predictibilidad_maxima,target,Sistema Nervioso_normal,0.0013324741190419154,0.028898862989291743,0.009602390780116864,0.1943
target_f_predictibilidad_maxima,target,Sistema Nervioso_Sin dato,0.0012764904257005494,0.02853184059857909,0.00945309547756411,0.1943
target_f_predictibilidad_maxima,target,Anestesia previa_conductiva,0.0,0.030556535548865168,0.00916696066465955,0.1943
target_f_predictibilidad_maxima,target,score_proc_ant_moderate_severity,0.005835623947914703,0.01687213147097105,0.009146576204831607,0.1943
target_f_predictibilidad_maxima,target,anio,0.0,0.03034011836741241,0.009102035510223722,0.1943
target_f_predictibilidad_maxima,target,Anestesia previa_espinal,0.000555312291538268,0.029027316618073715,0.009096913589498903,0.1943
target_f_predictibilidad_maxima,target,Tensión Arterial Diastólica (mm/Hg),0.0,0.02989801722937604,0.008969405168812812,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_E,0.002171612729047645,0.024673462603851847,0.008922167691488906,0.1943
target_f_predictibilidad_maxima,target,score_proc_ant_critical,0.005397041177507722,0.017088053765971296,0.008904344954046794,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_nan,0.005958549944036662,0.014257244317640782,0.008448158256117898,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_A,0.002312330229823134,0.02215587042654884,0.008265392288840845,0.1943
target_f_predictibilidad_maxima,target,Tipo de anestesia propuesta_bloqueo n,0.0,0.027317960052046234,0.00819538801561387,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_Q,0.004819057519577008,0.016066394944219246,0.008193258746969679,0.1943
target_f_predictibilidad_maxima,target,Grupo Sanguíneo_B,0.003976666827679276,0.017420807459535205,0.008009909017236054,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_M,0.002642617142518011,0.02046711622512716,0.007989966867300757,0.1943
target_f_predictibilidad_maxima,target,Antecedente hematológicos _anemia,1.6607299979654044e-08,0.026328157358197636,0.007898458832569276,0.1943
target_f_predictibilidad_maxima,target,Antecedente endocrinológicos_diabetes,0.0,0.026047284349128366,0.00781418530473851,0.1943
target_f_predictibilidad_maxima,target,Condición_ninguna,0.004588869037447374,0.015203438166620514,0.007773239776199316,0.1943
target_f_predictibilidad_maxima,target,score_proc_ant_low_severity,0.004846989947027369,0.013795199776256985,0.007531452895796253,0.1943
target_f_predictibilidad_maxima,target,Sexo_encoded,0.0014170941936759718,0.02176778855385877,0.007522302501730811,0.1943
